Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1989:12, 5176.501, 15388.75, 0, 6.916646, 0.8180137, 13.43057, 0, 66.97509, 1.842514, 10.01716, 17.12627, 25.04837, 3.059916, 64.33817, 1627.376, 1603.611, 2264.788, 40.57174, 0.1800667, 0.2950128, 3257.064, 0.6292018, 2.972809, 3.459675, 1.029983, -1.035157, 0.1890971, 0.2001137, 0.1966428, 
1990:1, 5179.167, 15419.03, 0, 6.908744, 0.8162148, 13.41114, 0, 66.93871, 1.86826, 10.05693, 17.11456, 25.03017, 3.059087, 64.63033, 1628.413, 1603.618, 2265.105, 40.54848, 0.4738197, 0.2950511, 3258.981, 0.6292481, 2.977125, 3.019711, 1.029327, 0.109142, 0.189141, 0.2001722, 0.1966965, 
1990:2, 5178.746, 15415.49, 0, 6.910122, 0.8163726, 13.41316, 0, 66.94011, 1.868464, 10.05175, 17.11648, 25.03279, 3.059169, 64.62769, 1628.233, 1603.608, 2265.04, 40.52885, 0.4713979, 0.2950446, 3258.782, 0.6292608, 2.976684, 3.024683, 1.028783, 0.09869552, 0.1891322, 0.2001603, 0.1966856, 
1990:3, 5178.514, 15412.76, 0, 6.911356, 0.8165117, 13.41494, 0, 66.94125, 1.86862, 10.04732, 17.11842, 25.03509, 3.059217, 64.62589, 1628.132, 1603.614, 2265.021, 40.51211, 0.4694966, 0.2950387, 3258.69, 0.6292713, 2.976291, 3.029362, 1.028336, 0.08968852, 0.189127, 0.2001522, 0.1966784, 
1990:4, 5178.406, 15410.64, 0, 6.912472, 0.8166319, 13.41648, 0, 66.94215, 1.868739, 10.04352, 17.12033, 25.03712, 3.059241, 64.62451, 1628.085, 1603.624, 2265.026, 40.49771, 0.4680195, 0.2950331, 3258.671, 0.6292808, 2.975944, 3.03378, 1.027971, 0.08187973, 0.1891243, 0.2001466, 0.1966738, 
1990:5, 5178.378, 15408.98, 0, 6.913496, 0.8167348, 13.41783, 0, 66.9428, 1.868833, 10.04028, 17.12218, 25.03893, 3.059249, 64.62341, 1628.073, 1603.632, 2265.042, 40.48523, 0.4668877, 0.2950279, 3258.701, 0.6292899, 2.975639, 3.037965, 1.027676, 0.07507063, 0.1891234, 0.200143, 0.1966711, 
1990:6, 5178.402, 15407.67, 0, 6.914442, 0.8168232, 13.419, 0, 66.94331, 1.868908, 10.03752, 17.12392, 25.04054, 3.059247, 64.62254, 1628.082, 1603.637, 2265.06, 40.47433, 0.4660379, 0.295023, 3258.763, 0.629299, 2.975372, 3.041935, 1.027442, 0.06910093, 0.1891237, 0.2001407, 0.1966696, 
1990:7, 5178.456, 15406.62, 0, 6.915327, 0.8168994, 13.42001, 0, 66.9436, 1.868971, 10.03518, 17.12553, 25.04198, 3.059241, 64.62185, 1628.104, 1603.638, 2265.078, 40.46481, 0.4654198, 0.2950184, 3258.846, 0.6293085, 2.975139, 3.04571, 1.027258, 0.06384473, 0.1891248, 0.2001394, 0.1966691, 
1990:8, 5178.527, 15405.79, 0, 6.916156, 0.8169651, 13.42089, 0, 66.94373, 1.869025, 10.03321, 17.12701, 25.04325, 3.059229, 64.62135, 1628.134, 1603.635, 2265.094, 40.45645, 0.4649941, 0.2950142, 3258.943, 0.6293185, 2.974937, 3.0493, 1.027119, 0.05920451, 0.1891265, 0.2001388, 0.1966693, 
1990:9, 5178.609, 15405.14, 0, 6.91694, 0.8170217, 13.42164, 0, 66.94374, 1.869072, 10.03158, 17.12834, 25.04435, 3.059216, 64.62103, 1628.169, 1603.63, 2265.108, 40.44913, 0.4647286, 0.2950103, 3259.049, 0.629329, 2.974763, 3.052715, 1.02702, 0.05510262, 0.1891287, 0.2001387, 0.1966699, 
