EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
304,1,1,1.948444E-06
304,3,11,9.924664E-05
305,1,1,1.987819E-06
305,3,11,0.0001000224
306,1,1,2.031811E-06
306,3,11,0.0001006334
307,1,1,2.06844E-06
307,3,11,0.0001010626
308,1,1,2.090216E-06
308,3,11,0.0001013116
309,1,1,2.093169E-06
309,3,11,0.0001013971
310,1,1,2.069349E-06
310,3,11,0.0001013494
311,1,1,2.014444E-06
311,3,11,0.0001012251
312,1,1,1.938894E-06
312,3,11,0.0001010509
313,1,1,1.853896E-06
313,3,11,0.00010085
314,1,1,1.769415E-06
314,3,11,0.0001006306
315,1,1,1.68738E-06
315,3,11,0.0001004052
316,1,1,1.608364E-06
316,3,11,0.0001002051
317,1,1,1.540858E-06
317,3,11,0.0001000495
318,1,1,1.492176E-06
318,3,11,9.993291E-05
319,1,1,1.465308E-06
319,3,11,9.984715E-05
320,1,1,1.452339E-06
320,3,11,9.978365E-05
321,1,1,1.440356E-06
321,3,11,9.982051E-05
322,1,1,1.43548E-06
322,3,11,0.000100025
323,1,1,1.454023E-06
323,3,11,0.0001003941
324,1,1,1.502883E-06
324,3,11,0.0001007988
325,1,1,1.56853E-06
325,3,11,0.0001011847
326,1,1,1.642203E-06
326,3,11,0.0001014818
327,1,1,1.715852E-06
327,3,11,0.0001016473
328,1,1,1.782896E-06
328,3,11,0.0001016581
329,1,1,1.833208E-06
329,3,11,0.000101523
330,1,1,1.858084E-06
330,3,11,0.0001012697
331,1,1,1.855955E-06
331,3,11,0.0001009231
332,1,1,1.82849E-06
332,3,11,0.0001005041
333,1,1,1.775918E-06
333,3,11,0.0001000355
334,1,1,1.693787E-06
334,3,11,9.95441E-05
335,1,1,1.600581E-06
335,3,11,9.906737E-05
336,1,1,1.522977E-06
336,3,11,9.858718E-05
337,1,1,1.461253E-06
337,3,11,9.810558E-05
338,1,1,1.413676E-06
338,3,11,9.762452E-05
339,1,1,1.380328E-06
339,3,11,9.714774E-05
340,1,1,1.364541E-06
340,3,11,9.666361E-05
341,1,1,1.358058E-06
341,3,11,9.616197E-05
342,1,1,1.33481E-06
342,3,11,9.569325E-05
343,1,1,1.301704E-06
